City,State,ZipCode,Country,change_name_City,change_name_State,change_name_ZipCode
Ewloe,Flintshire,CH5 3YB,GB,Ewloe,Flintshire,CH5 3YB
Calgary,AB,0,CA,Calgary,AB,N/A
DeLand,FL,32724,US,DeLand,FL,32724
Not found,Not Found,0,GB,N/A,N/A,N/A
New York,NY,10003,US,New York,NY,10003
San Francisco,CA,94133,US,San Francisco,CA,94133
Boulder,CO,80302,US,Boulder,CO,80302
Bay Shore,NY,11706,US,Bay Shore,NY,11706
Not found,Not Found,0,Not Available,N/A,N/A,N/A
Avondale,AZ,85392,US,Avondale,AZ,85392
Romsey,HAMPSHIRE UNITED KINGDOM,so51 0QA,US,Romsey,UK,so51 0QA
Paris,IDF,75014,FR,Paris,IDF,75014
Cumming,GA,30041-9180,US,Cumming,GA,30041-9180
Falkirk,Not Found,0,GB,Falkirk,N/A,N/A
Mount Pleasant,SC,29464,US,Mount Pleasant,SC,29464
Corpus Christi,TX,78411,US,Corpus Christi,TX,78411
Newark,NJ,7102,US,Newark,NJ,7102
Utrecht,Utrecht,0,NL,Utrecht,Utrecht,N/A
Not found,Not Found,0,Not Available,N/A,N/A,N/A
London,Ontario,0,CA,London,ON,N/A
Not found,Not Found,Zip/Postal,Not Available,N/A,N/A,N/A
Leeuwarden,FR,8934 CJ,NL,Leeuwarden,FR,8934 CJ
Not found,Not Found,0,Not Available,N/A,N/A,N/A
Novato,CA,94949,US,Novato,CA,94949
Royal Wootton Bassett,Wiltshire,SN4 7HH,GB,Royal Wootton Bassett,Wiltshire,SN4 7HH
Alella,CT,8328,ES,Alella,CT,8328
Parkside,SA,5063,AU,Parkside,SA,5063
Not found,Not Found,0,Not Available,N/A,N/A,N/A
Not found,Not Found,0,Not Available,N/A,N/A,N/A
Calgary,Alberta,T2R0B4,CA,Calgary,Alberta,T2R0B4
Chino,CA,91710,US,Chino,CA,91710
Chicago,IL,0,US,Chicago,IL,N/A
Wickenburg,AZ,85390,US,Wickenburg,AZ,85390
La Jolla,CA,92037,US,La Jolla,CA,92037
Chicago Illinois,Not Found,60601,Not Available,Chicago,N/A,60601
New York,NY,10038,US,New York,NY,10038
Not found,Not Found,0,Not Available,N/A,N/A,N/A
Not found,Not Found,0,Not Available,N/A,N/A,N/A
Cleveland,OH,0,US,Cleveland,OH,N/A
Washington,DC,20001,US,Washington,DC,20001
Not found,Not Found,0,Not Available,N/A,N/A,N/A
Canterbury,Kent,CT1 1QU,GB,Canterbury,Kent,CT1 1QU
Monroeville,PA,15146,US,Monroeville,PA,15146
Seattle,WA,98101,US,Seattle,WA,98101
